ぢ	Di.Di
っ	Tu.Tu
つ	Tu.Tu
づ	Du.Du
て	Te.Te
で	De.De
と	To.To
ど	Do.Do
な	Na.Na
に	Ni.Ni
ぬ	Nu.Nu
ね	Ne.Ne
の	No.No
は	Ha.Ha
ば	Ba.Ba
ぱ	Pa.Pa
ひ	Hi.Hi
び	Bi.Bi
ぴ	Pi.Pi
ふ	Hu.Hu
ぶ	Bu.Bu
ぷ	Pu.Pu
へ	He.He
べ	Be.Be
ぺ	Pe.Pe
ほ	Ho.Ho
ぼ	Bo.Bo
ぽ	Po.Po
ま	Ma.Ma
み	Mi.Mi
む	Mu.Mu
め	Me.Me
も	Mo.Mo
ゃ	Ya.Ya
や	Ya.Ya
ゅ	Yu.Yu
ゆ	Yu.Yu
ょ	Yo.Yo
よ	Yo.Yo
ら	Ra.Ra
り	Ri.Ri
る	Ru.Ru
れ	Re.Re
ろ	Ro.Ro
ゎ	Wa.Wa
わ	Wa.Wa
𛅐	Wi.Wi
ゐ	Wi.Wi
𛅑	We.We
ゑ	We.We
𛅒	Wo.Wo
を	Wo.Wo
ん	Nn.Nn
𛅧	Nn.Nn
ゔ	Vu.Vu
ァ	Xa.Xa
ア	Xa.Xa
ィ	Xi.Xi
イ	Xi.Xi
ゥ	Xu.Xu
ウ	Xu.Xu
ェ	Xe.Xe
エ	Xe.Xe
ォ	Xo.Xo
オ	Xo.Xo
カ	Ka.Ka
ヵ	Ka.Ka
ガ	Ga.Ga
キ	Ki.Ki
ギ	Gi.Gi
ク	Ku.Ku
ㇰ	Ku.Ku
グ	Gu.Gu
ケ	Ke.Ke
ヶ	Ke.Ke
ゲ	Ge.Ge
コ	Ko.Ko
ゴ	Go.Go
サ	Sa.Sa
ザ	Za.Za
シ	Si.Si
ㇱ	Si.Si
ジ	Zi.Zi
ス	Su.Su
ㇲ	Su.Su
ズ	Zu.Zu
セ	Se.Se
ゼ	Ze.Ze
ソ	So.So
ゾ	Zo.Zo
タ	Ta.Ta
ダ	Da.Da
チ	Ti.Ti
ヂ	Di.Di
ッ	Tu.Tu
ツ	Tu.Tu
ヅ	Du.Du
テ	Te.Te
デ	De.De
ト	To.To
ㇳ	To.To
ド	Do.Do
ナ	Na.Na
ニ	Ni.Ni
ヌ	Nu.Nu
ㇴ	Nu.Nu
ネ	Ne.Ne
ノ	No.No
ハ	Ha.Ha
ㇵ	Ha.Ha
バ	Ba.Ba
パ	Pa.Pa
ヒ	Hi.Hi
ㇶ	Hi.Hi
ビ	Bi.Bi
ピ	Pi.Pi
フ	Hu.Hu
ㇷ	Hu.Hu
ブ	Bu.Bu
プ	Pu.Pu
ヘ	He.He
ㇸ	He.He
ベ	Be.Be
ペ	Pe.Pe
ホ	Ho.Ho
ㇹ	Ho.Ho
ボ	Bo.Bo
ポ	Po.Po
マ	Ma.Ma
ミ	Mi.Mi
ム	Mu.Mu
ㇺ	Mu.Mu
メ	Me.Me
モ	Mo.Mo
ャ	Ya.Ya
ヤ	Ya.Ya
ュ	Yu.Yu
ユ	Yu.Yu
ョ	Yo.Yo
ヨ	Yo.Yo
ラ	Ra.Ra
ㇻ	Ra.Ra
リ	Ri.Ri
ㇼ	Ri.Ri
ル	Ru.Ru
ㇽ	Ru.Ru
レ	Re.Re
ㇾ	Re.Re
ロ	Ro.Ro
ㇿ	Ro.Ro
ワ	Wa.Wa
ヮ	Wa.Wa
ヰ	Wi.Wi
𛅤	Wi.Wi
ヱ	We.We
𛅥	We.We
𛅦	Wo.Wo
ヲ	Wo.Wo
ン	N.N 
ヴ	Vu.Vu
ヷ	Va.Va
ヸ	Vi.Vi
ヹ	Ve.Ve
ヺ	Vo.Vo
ー	L.L 
𛀀	Xe.Xe
𛀀	Ye.Ye
𛀂	Xa.Xa
𛀅	Xa.Xa
𛀃	Xa.Xa
𛀄	Xa.Xa
𛀆	Xi.Xi
𛀇	Xi.Xi
𛀈	Xi.Xi
𛀉	Xi.Xi
𛀊	Xu.Xu
𛀋	Xu.Xu
𛀌	Xu.Xu
𛀍	Xu.Xu
𛀎	Xu.Xu
𛀁	Ye.Ye
𛀏	Xe.Xe
𛀐	Xe.Xe
𛀑	Xe.Xe
𛀒	Xe.Xe
𛀓	Xe.Xe
𛀔	Xo.Xo
𛀕	Xo.Xo
𛀖	Xo.Xo
𛀗	Ka.Ka
𛀘	Ka.Ka
𛀙	Ka.Ka
𛀚	Ka.Ka
𛀛	Ka.Ka
𛀢	Ka.Ka
𛀜	Ka.Ka
𛀝	Ka.Ka
𛀞	Ka.Ka
𛀟	Ka.Ka
𛀠	Ka.Ka
𛀡	Ka.Ka
𛀣	Ki.Ki
𛀤	Ki.Ki
𛀥	Ki.Ki
𛀦	Ki.Ki
𛀻	Ki.Ki
𛀧	Ki.Ki
𛀨	Ki.Ki
𛀩	Ki.Ki
𛀪	Ki.Ki
𛀫	Ku.Ku
𛀬	Ku.Ku
𛀭	Ku.Ku
𛀮	Ku.Ku
𛀯	Ku.Ku
𛀰	Ku.Ku
𛀱	Ku.Ku
𛀳	Ke.Ke
𛀲	Ke.Ke
𛀢	Ke.Ke
𛀴	Ke.Ke
𛀵	Ke.Ke
𛀶	Ke.Ke
𛀷	Ke.Ke
𛀸	Ko.Ko
𛂘	Ko.Ko
